Institution,Country/territory
Plataforma Argentina de Biología Estructural y Metabolómica (PLABEM),Argentina
University of San Andrés,Argentina
Infant Foundation,Argentina
National Agricultural Technology Institute (INTA),Argentina
Maimonides University,Argentina
Servicio Geológico Minero Argentino (SEGEMAR),Argentina
Hospital Italiano de Buenos Aires,Argentina
non-affiliated author contributions,Argentina
National University of Central Buenos Aires (UNICEN),Argentina
Environmental Protection Agency (APPA),Argentina
Fundación Rewilding Argentina,Argentina
National University of La Pampa (UNLPAM),Argentina
Hospital de Pediatría Garrahan,Argentina
National University of Southern Patagonia (UNPA),Argentina
National University of the Northeast (UNNE),Argentina
Gobierno de la Provincia de Buenos Aires,Argentina
Argentine Antarctic Institute (IAA),Argentina
National University of Río Negro (UNRN),Argentina
Argentine University of Enterprise (UADE),Argentina
Institute for Clinical Effectiveness and Health Policy (IECS),Argentina
National University of Santiago del Estero (UNSE),Argentina
Favaloro University,Argentina
Institute of Cognitive Neurology (INECO),Argentina
Miguel Lillo Foundation,Argentina
Pierre Auger Observatory,Argentina
Instituto Universitario de Ciencias Biomédicas Cordoba (IUCBC),Argentina
Torcuato di Tella University (UTDT),Argentina
Hospital Francés,Argentina
Institute of Nuclear Technologies for Health (INTECNUS),Argentina
Hospital Pedro de Elizalde,Argentina
National University of Jujuy (UNJU),Argentina
Clinica Viedma S.A.,Argentina
Universidad Nacional de Lanús,Argentina
Fundación de Endocrinología Infantil (FEI),Argentina
Ricardo Gutierrez Children's Hospital,Argentina
National University of Entre Ríos (UNER),Argentina
Centro de Investigaciones del Bosque Atlántico (CeIBA),Argentina
Universidad Nacional de Tierra del Fuego (UNTDF),Argentina
Universidad Nacional de Hurlingham ( UNAHUR),Argentina
National University of Tres de Febrero (UNTREF),Argentina
Catholic University of Cordoba (UCC),Argentina
Institute for Neurological Research Dr. Raul Carrea (FLENI),Argentina
"Instituto Nacional de Enfermedades Virales Humanas ""Dr. Julio I Maiztegui"" (INEVH)",Argentina
Institute of Scientific and Technical Research for Defense (CITEDEF),Argentina
Argentina Ministry of Health (MSAL),Argentina
National University Arturo Jauretche (UNAJ),Argentina
IntraMed,Argentina
Neurología Clinica,Argentina
Hospital Escuela Eva Perón,Argentina
Fundacion Sinapsis,Argentina
Hospital Dr. Lucio Molas,Argentina
Fundacion Ayuda Enfermo Renal y Alta Complejidad (Faerac),Argentina
Facultad Latinoamericana de Ciencias Sociales (FLACSO),Argentina
Argentine Medical Association (AMA),Argentina
Hospital Santojanni,Argentina
Velez Sarsfield Hospital,Argentina
Yerevan State University (YSU),Armenia
National Academy of Sciences of the Republic of Armenia (NAS),Armenia
Yerevan Mkhitar Heratsi State Medical University (YSMU),Armenia
Institute for Theoretical Physics and Modeling (ITPM),Armenia
Russian-Armenian University (RAU),Armenia
The University of Queensland (UQ),Australia
Monash University,Australia
University of New South Wales (UNSW Sydney),Australia
The University of Melbourne (UniMelb),Australia
Australian National University (ANU),Australia
The University of Sydney (USYD),Australia
The University of Adelaide (Adelaide Uni),Australia
The University of Western Australia (UWA),Australia
Curtin University,Australia
University of Wollongong (UOW),Australia
Macquarie University,Australia
Queensland University of Technology (QUT),Australia
The Commonwealth Scientific and Industrial Research Organisation (CSIRO),Australia
University of Technology Sydney (UTS),Australia
University of Tasmania (UTAS),Australia
Griffith University,Australia
Deakin University,Australia
Royal Melbourne Institute of Technology (RMIT University),Australia
Walter and Eliza Hall Institute of Medical Research (WEHI),Australia
Swinburne University of Technology,Australia
La Trobe University,Australia
The University of South Australia (UniSA),Australia
Australian Nuclear Science and Technology Organisation (ANSTO),Australia
The University of Newcastle (UON),Australia
Melbourne Health,Australia
James Cook University (JCU),Australia
QIMR Berghofer Medical Research Institute,Australia
Flinders University,Australia
Peter MacCallum Cancer Centre (Peter Mac),Australia
Western Sydney University,Australia
Garvan Institute of Medical Research,Australia
University of Southern Queensland (USQ),Australia
Southern Cross University (SCU),Australia
Florey Institute of Neuroscience and Mental Health,Australia
Bureau of Meteorology (BOM),Australia
University of New England (UNE),Australia
Murdoch University,Australia
Victor Chang Cardiac Research Institute (VCCRI),Australia
Edith Cowan University (ECU),Australia
St Vincent's Health Australia,Australia
Baker Heart and Diabetes Institute (Baker IDI),Australia
University of Canberra,Australia
Australian Institute of Marine Science (AIMS),Australia
"Department of Agriculture, Water and the Environment (AWE)",Australia
Government of Western Australia,Australia
The Royal Children's Hospital Melbourne (RCH),Australia
South Australian Health and Medical Research Institute (SAHMRI),Australia
Hudson Institute of Medical Research,Australia
Charles Darwin University (CDU),Australia
Museums Victoria,Australia
Telethon Kids Institute,Australia
Olivia Newton-John Cancer Research Institute (ONJCRI),Australia
Children's Cancer Institute Australia (CCIA),Australia
Geoscience Australia,Australia
Mater Health Services,Australia
Queensland Health,Australia
Australian Museum,Australia
SA Health,Australia
Victoria University (VU),Australia
Burnet Institute,Australia
Charles Sturt University (CSU),Australia
Metro South Health,Australia
NSW Ministry of Health,Australia
Austin Health,Australia
Monash Health,Australia
NSW Department of Industry,Australia
Sir Charles Gairdner Hospital (SCGH),Australia
Q-CTRL Pt Ltd.,Australia
Neuroscience Research Australia (NeuRA),Australia
Illawarra Health and Medical Research Institute (IHMRI),Australia
South Australian Museum,Australia
The Royal Victorian Eye and Ear Hospital,Australia
MinEx Cooperative Research Centre (MinEx CRC),Australia
Alfred Health,Australia
"NSW Department of Planning, Industry and Environment",Australia
University of the Sunshine Coast (USC),Australia
Westmead Institute for Medical Research,Australia
Victorian Department of Health and Human Services (Victorian DHHC),Australia
Perth Children's Hospital (PCH),Australia
South East Water Corporation,Australia
Fiona Stanley and Fremantle Hospitals Group (FSFHG),Australia
ARC Centre of Excellence for Integrative Brain Function,Australia
Max Kelsen,Australia
The Heart Research Institute (HRI),Australia
Melbourne Water Corporation,Australia
Microbial Screening Technologies,Australia
Dulux Group Ltd.,Australia
Royal Perth Hospital,Australia
Queensland Skin and Cancer Trust (QIDerm),Australia
Queensland Museum (QM),Australia
Bioresource Processing Institute of Australia (BioPRIA),Australia
Boron Molecular Inc.,Australia
Cooperative Research Centre for Living with Autism (Autism CRC),Australia
BHP Billiton Limited,Australia
GHD Pty Ltd.,Australia
Cooperative Research Centre for Contamination Assessment and Remediation of the Environment (CRC CARE),Australia
Royal Botanic Gardens Victoria,Australia
Taronga Conservation Society Australia,Australia
Metro North Hospital and Health Service,Australia
Menzies School of Health Research,Australia
Queensland Department of Natural Resources and Mines (DNRM),Australia
Manly Astrophysics,Australia
Teck Australia Pty Ltd.,Australia
Westmead Hospital (WSLHD),Australia
Northern Territory Government,Australia
Water Research Australia Limited (WaterRA),Australia
"Department of Defence, Australia",Australia
Metabolomics Australia (MA),Australia
Trajan Scientific and Medical,Australia
Melanoma Institute Australia,Australia
Oral Health CRC,Australia
Children's Health Queensland (CHQ),Australia
Barwon Health,Australia
Pelican Lagoon Research and Wildlife Centre,Australia
Victoria Police Forensic Services Department (FSD),Australia
Reserve Bank of Australia,Australia
"Department of Environment, Land, Water and Planning (DELWP), State Government Victoria",Australia
"Royal Children's Hospital, Brisbane",Australia
"SA Department of Environment, Water and Natural Resources",Australia
Gertrude Biomedical Pty Ltd.,Australia
Central Queensland University (CQU),Australia
Federation University Australia,Australia
Inghams Enterprises Pty. Ltd.,Australia
Ozgene Pty Ltd.,Australia
TissuPath Pty Ltd.,Australia
Microba,Australia
Western Australian Museum,Australia
non-affiliated author contributions,Australia
"Dunkeld Pastoral Co., Pty. Ltd.",Australia
Hunter Pain Specialists,Australia
Hunter Water Corporation,Australia
ReefSense Pty Ltd.,Australia
Orygen Youth Health (OYH),Australia
Department of Industry,Australia
"Myrio Therapeutics Pty, Ltd.",Australia
South Australian Research and Development Institute (SARDI),Australia
Chris O'Brien Lifehouse,Australia
South Australian Water Corporation (SA Water),Australia
CSL Limited,Australia
PathWest Laboratory Medicine of Western Australia,Australia
NSW Health Pathology,Australia
NSW Sydney Local Health District (SLHD),Australia
East Metropolitan Health Service (EMHS),Australia
NSW South Eastern Sydney Local Health District (SESLHD),Australia
Broken Hill Observatory,Australia
CSIRO Scientific Computing,Australia
Great Barrier Reef Marine Park (GBRMP),Australia
Geological Survey of Australia,Australia
"Victoria Department of Jobs, Precincts and Regions (DJPR)",Australia
​Bocking Associates CBM Pty Ltd.,Australia
Sherbrooke Lyrebird Survey Group,Australia
"ACT Environment, Planning and Sustainable Development Directorate",Australia
Airservices Australia,Australia
Ventia Pty Ltd.,Australia
"Australian Agricultural Company Ltd,",Australia
Casey & Lowe Pty Ltd.,Australia
Fortescue Metals Group Ltd.,Australia
Waters Australia Pty Ltd.,Australia
Western Health,Australia
Prahran Market Clinic,Australia
East Sydney Doctors (ESD),Australia
Holdsworth House Medical Practice,Australia
Illawarra Environmental Education Centre (IEEC),Australia
Taylor Square Private Clinic (TSPC),Australia
Asbestos Diseases Research Institute (ADRI),Australia
SYNthesis Med Chem,Australia
Inventia Life Science Pty Ltd.,Australia
Lettuce Create,Australia
Rock Art Australia,Australia
"Department of Economic Development, Jobs, Transport and Resources (DEDJTR), State Government of Victoria",Australia
Risk Frontiers,Australia
Australian Astronomical Observatory (AAO),Australia
The Royal Women's Hospital,Australia
Lyramid Ltd.,Australia
Canberra Health Services,Australia
Institute for Respiratory Health (IRH),Australia
Cancer Council Victoria,Australia
Deepdene Surgery,Australia
"The Park - Centre for Mental Health, Treatment, Research and Education",Australia
Astronomy Australia Limited (AAL),Australia
Select Carbon Pty Ltd.,Australia
Australian Football League (AFL),Australia
Epworth HealthCare,Australia
Australian Genomics Health Alliance,Australia
Fiona Elsey Cancer Research Institute (FECRI),Australia
National Health and Medical Research Council (NHMRC),Australia
Hazelwood Observatory,Australia
Barwon Region Water Corporation,Australia
ALS Limited,Australia
St John of God Health Care (SJGHC),Australia
Hunter Genetics,Australia
Prince of Wales Hospital,Australia
Queensland Department of Agriculture and Fisheries (DAF),Australia
Dr Jake Lim PLC,Australia
Australia Plastic Surgery,Australia
ClinPath Pathology,Australia
King Edward Memorial Hospital for Women (KEMH),Australia
Princess Margaret Hospital for Children (PMH),Australia
The University of Notre Dame Australia (UNDA),Australia
West Moreton Health,Australia
Positive Life NSW,Australia
Launceston General Hospital,Australia
Royal Darwin Hospital (RDH),Australia
South Western Sydney Local Health District (SWSLHD),Australia
Ramsay Health Care,Australia
"Centre for Air Pollution, Energy and Health Research (CAR)",Australia
Gravitational Wave Data Centre (GWDC),Australia
"Department of Agriculture and Food, Western Australia (DAFWA)",Australia
The George Institute for Global Health (TGI),Australia
Environment Protection Authority Victoria (EPA),Australia
Vaxxas (Australia),Australia
Halfmoon Biosciences,Australia
Phillip Island Nature Parks,Australia
Tasmanian Museum and Art Gallery,Australia
Melbourne Bioinformatics,Australia
Western Australia Department of Fisheries,Australia
Envoi Pathology,Australia
Perth Exoplanet Survey Telescope (PEST),Australia
Scarp Archaeology Pty Ltd,Australia
State Library of New South Wales,Australia
Bioplatforms Australia Ltd.,Australia
Biometric Research,Australia
TAFE Queensland,Australia
Peanut Company of Australia Pty Ltd.,Australia
Tasmanian Vaccine Trial Centre,Australia
EMM Consulting Pty Limited,Australia
Calvary Health Care Bethlehem,Australia
Australian Urology Associates (AUA Urology),Australia
Prince of Wales Private Hospital,Australia
Macquarie Group Limited,Australia
Rhithroecology Pty. Ltd.,Australia
Australian Catholic University (ACU),Australia
Blacktown and Mount Druitt Hospital (BMDH),Australia
Eastern Health,Australia
Woolcock Institute of Medical Research (WIMR),Australia
Australian Alzheimer’s Research Foundation,Australia
Aquesta Specialized Uropathology,Australia
South West Healthcare (SWH),Australia
Cabrini Health,Australia
ASTRO-3D,Australia
Monash IVF Group Pty. Ltd.,Australia
University of Vienna,Austria
Vienna University of Technology (TU Wien),Austria
Austrian Academy of Sciences (ÖAW),Austria
University of Innsbruck (LFU),Austria
Institute of Science and Technology Austria (IST Austria),Austria
Medical University of Vienna (MUW),Austria
Vienna Biocenter (VBC),Austria
Graz University of Technology (TU Graz),Austria
"University of Natural Resources and Life Sciences, Vienna (BOKU)",Austria
University of Graz (Uni Graz),Austria
Johannes Kepler University of Linz (JKU),Austria
Medical University of Innsbruck (MUI),Austria
University of Salzburg,Austria
International Institute for Applied Systems Analysis (IIASA),Austria
University of Veterinary Medicine Vienna (VUM),Austria
Medical University of Graz (Med Uni Graz),Austria
Central European University (CEU),Austria
Borealis AG,Austria
University of Leoben,Austria
International Atomic Energy Agency (IAEA),Austria
Central Institution for Meteorology and Geodynamics (ZAMG),Austria
Museum of Natural History of Vienna (NHMW),Austria
VASP Software (Austria) (VASP),Austria
AIT Austrian Institute of Technology GmbH,Austria
St. Anna Children's Hospital,Austria
Polymer Competence Center Leoben GmbH,Austria
Joanneum Research Forschungsgesellschaft mbH,Austria
Silicon Austria Labs GmbH,Austria
Austrian Electrotechnical Association (OVE),Austria
Paracelsus Medical University (PMU),Austria
Karl Landsteiner University of Health Sciences (KL),Austria
Austrian Centre of Industrial Biotechnology (ACIB),Austria
Materials Center Leoben Forschung GmbH,Austria
JR-AquaConSol GmbH,Austria
"Austria Federal Ministry of Education, Science and Research (BMBWF)",Austria
Kepler University Hospital,Austria
Environment Agency Austria (EAA),Austria
MED-EL GmbH,Austria
ZED Depth Exploration Data GmbH,Austria
Vienna University of Economics and Business (WU),Austria
Danube Private University (DPU),Austria
Lakeside Labs GmbH,Austria
Eucodis Bioscience GmbH,Austria
Aposcience AG,Austria
Anton Paar GmbH,Austria
"RD&C Research, Development & Consulting GmbH",Austria
University of Applied Sciences Technikum Wien (UAS Technikum Wien),Austria
GEODATA Survey and Monitoring Group,Austria
Austria Federal Ministry of Health and Women's Affairs (BMGF),Austria
"Austria Federal Ministry of Agriculture, Forestry, Environment and Water Management (BMLFUW)",Austria
Parity Quantum Computing GmbH,Austria
Apeiron Biologics AG,Austria
Kompetenzzentrum Holz GmbH (Wood K plus),Austria
Ludwig Boltzmann Institute for Rare and Undiagnosed Diseases (LBI-RUD),Austria
ASFINAG Service GmbH,Austria
Biological Station Lake Neusiedl,Austria
Gesundheit Österreich GmbH (GÖG),Austria
Klinikum Wels-Grieskirchen GmbH,Austria
European Translational Oncology Prevention and Screening Institute (EUTOPS Institute),Austria
Wilhelminenspital,Austria
Management Center Innsbruck (MCI),Austria
Research Studios Austria Forschungsgesellschaft mbH (RSA FG),Austria
UpNano GmbH,Austria
Lexogen GmbH,Austria
University of Applied Sciences Upper Austria (UASUA),Austria
Landeskrankenhaus Bregenz (LKH Bregenz),Austria
WasserCluster Lunz (WCL),Austria
Vienna Zoo,Austria
Alpine Quantum Technologies (Austria) (AQT),Austria
University Hospital Tulln,Austria
Krankenhaus St. Josef Braunau,Austria
Vorarlberg University of Applied Sciences,Austria
University Hospital Innsbruck,Austria
Austrian Cooperative Research (ACR),Austria
Geoconsult Wien ZT GmbH,Austria
Ingenetix GmbH,Austria
University of Klagenfurt,Austria
Alpine Quantum Technologies GmbH (AQT),Austria
Institute of Advanced Research in Artificial Intelligence (IARAI),Austria
Carinthia University of Applied Sciences (CUAS),Austria
Austrian Power Grid (APG),Austria
Universitätskliniken Salzburg,Austria
University of Applied Sciences Wiener Neustadt (FHWN),Austria
Wolfgang Pauli Institute (WPI) Vienna,Austria
sendance GmbH,Austria
Karl Landsteiner Society,Austria
St. Vincent Zams Hospital,Austria
Office of the Tyrolean State Government,Austria
Danube University Krems,Austria
Ordensklinikum Linz,Austria
Zytoprotec GmbH,Austria
JLP Health GmbH,Austria
NBS-C BioScience and Consulting GmbH,Austria
Research Center Pharmaceutical Engineering GmbH (RCPE),Austria
Lithoz GmbH,Austria
Prozess Optimal CAP GmbH,Austria
E.L.T. Kunststofftechnik und Werkzeugbau GmbH,Austria
Microinnova Engineering GmbH,Austria
Phyllon GmbH,Austria
FH Campus Wien - University of Applied Sciences,Austria
Sigmund Freud University (SFU),Austria
g.tec medical engineering GmbH,Austria
Campus Science Support Facilities GmbH (CSF),Austria
VitreaLab GmbH,Austria
Tyrolean Cancer Research Institute (TCRI),Austria
Bezirkskrankenhaus Schwaz (BKH Schwaz),Austria
Center for Biomarker Research in Medicine (CBmed),Austria
Krankenhaus der Barmherzigen Schwestern Linz,Austria
Federal Agency for Water Management,Austria
Gynmed Clinic,Austria
IMC University of Applied Sciences Krems (IMC FH Krems),Austria
Clinic Favoriten,Austria
non-affiliated author contributions,Austria
Austria Center Vienna (ACV),Austria
Know-Center GmbH,Austria
Labdia Labordiagnostik GmbH,Austria
Steiermärkische Krankenanstalten- gesellschaft m.b.H. (KAGes),Austria
Ionicon Analytik GmbH,Austria
Wiener Krankenanstaltenverbund (KAV),Austria
European Network of Research Ethics and Research Integrity (ENERI) - Austria,Austria
Baku State University,Azerbaijan
Azerbaijan National Academy of Sciences (ANAS),Azerbaijan
National Nuclear Research Center,Azerbaijan
National Nuclear Research Center (MNTM),Azerbaijan
Khazar University,Azerbaijan
Bahamas Advanced Study Institute and Conferences (BASIC),Bahamas
University of Bahrain,Bahrain
Arabian Gulf University (AGU),Bahrain
"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDR,B)",Bangladesh
University of Dhaka (DU),Bangladesh
Brac University,Bangladesh
University of Chittagong (CU),Bangladesh
Jahangirnagar University (JU),Bangladesh
North South University (NSU),Bangladesh
Environment and Population Research Centre (EPRC),Bangladesh
Islamic University,Bangladesh
Comilla University,Bangladesh
Bangladesh Forest Department,Bangladesh
"Independent University, Bangladesh (IUB)",Bangladesh
WildTeam,Bangladesh
Bangladesh University of Engineering and Technology (BUET),Bangladesh
National Institute of Diseases of the Chest and Hospital (NIDCH),Bangladesh
Bangladesh Ministry of Health and Family Welfare,Bangladesh
University of Barisal (BU),Bangladesh
Khulna University (KU),Bangladesh
Rajshahi University,Bangladesh
Chittagong Medical College (CMC),Bangladesh
Bangabandhu Sheikh Mujibur Rahman Agricultural University (BSMRAU),Bangladesh
Ramu Upazila Health Complex,Bangladesh
Dev Care Foundation,Bangladesh
Shahjalal University of Science and Technology (SUST),Bangladesh
Bangladesh Agricultural University (BAU),Bangladesh
Bangladesh University of Health Sciences (BUHS),Bangladesh
Jatiya Kabi Kazi Nazrul Islam University (JKKNIU),Bangladesh
National Academy of Sciences of Belarus (NASB),Belarus
Belarusian State University (BSU),Belarus
Belarusian State Medical University (BSMU),Belarus
Belarusian National Technical University (BNTU),Belarus
Belarusian State University of Informatics and Radioelectronics (BSUIR),Belarus
Republican Research and Practical Centre for Pulmonology and Tuberculosis,Belarus
N.N. Alexandrov National Cancer Centre of Belarus for Oncology and Medical Radiology,Belarus
United Institute of Informatics Problems (UIIP),Belarus
"Republican Center for Hydrometeorology, Control of Radioactive Contamination and Environmental Monitoring (Belhydromet)",Belarus
Catholic University of Leuven (KU Leuven),Belgium
Ghent University (UGent),Belgium
Catholic University of Louvain (UCLouvain),Belgium
Université Libre de Bruxelles (ULB),Belgium
University of Antwerp (UA),Belgium
University of Liège (ULg),Belgium
Flanders Institute for Biotechnology (VIB),Belgium
Free University of Brussels (VUB),Belgium
University of Mons (UMONS),Belgium
Interuniversity Microelectronics Centre (IMEC),Belgium
European Commission (EC),Belgium
International Solvay Institutes,Belgium
University of Namur (UNamur),Belgium
Hasselt University (UHasselt),Belgium
Belgian Institute for Space Aeronomy (BIRA-IASB),Belgium
Royal Observatory of Belgium (ROB),Belgium
UCB S.A.,Belgium
Walloon Excellence in Lifesciences and Biotechnology (WELBIO),Belgium
European Theoretical Spectroscopy Facility (ETSF),Belgium
Flemish Institute for Technological Research (VITO) - Remote Sensing and Earth Observation Processes (TAP),Belgium
Royal Belgian Institute of Natural Sciences,Belgium
Royal Museum for Central Africa (RMCA),Belgium
Institute of Tropical Medicine (ITM),Belgium
CHU Dinant Godinne,Belgium
Solvay S.A.,Belgium
Royal Meteorological Institute of Belgium (RMI),Belgium
PharmaFluidics,Belgium
Queen Astrid Military Hospital,Belgium
Belgian Nuclear Research Centre (SCK•CEN),Belgium
Almax-easyLab bv,Belgium
Flanders Make,Belgium
Belgian Federal Science Policy Office (BELSPO),Belgium
Flanders Marine Institute (VLIZ),Belgium
Umicore N.V.,Belgium
Haute-Ecole Robert Schuman (HERS),Belgium
Center for Innovation and Stimulation of Drug Discovery (Cistim),Belgium
Botanic Garden Meise,Belgium
GasthuisZusters Antwerpen (GZA),Belgium
AZ Sint-Jan Brugge-Oostende AV,Belgium
Chrometra BVBA,Belgium
European Research Institute of Catalysis (ERIC),Belgium
Biobest Group NV,Belgium
Sirris,Belgium
Wishbone SA,Belgium
non-affiliated author contributions,Belgium
Histories vzw,Belgium
Jessa Ziekenhuis,Belgium
Royal Military Academy (RMA),Belgium
Data Intuitive Bvba,Belgium
Milieu Consulting SPRL,Belgium
Extreme Life Isyensya,Belgium
Sciensano,Belgium
Aquality Technologies Srl,Belgium
Materialise NV,Belgium
Research Institute for Nature and Forest (INBO),Belgium
Antwerp Hospital Network (ZNA),Belgium
PathoSense BV,Belgium
Groupe Jolimont,Belgium
Erasmus University College Brussels,Belgium
NovelYeast bv,Belgium
Chemtrix B.V.,Belgium
"Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)",Belgium
Département Études de Natagora,Belgium
Biogazelle,Belgium
Avertim BVBA,Belgium
Institute of Pathology and Genetics (IPG),Belgium
Clinique et Maternité Sainte Elisabeth,Belgium
CHR de la Citadelle - Liège,Belgium
Heilig Hart Leuven,Belgium
ExeVir Bio BV.,Belgium
European Institute of Peace (EIP),Belgium
Emweb bv,Belgium
Flanders Heritage Agency,Belgium
ATLAS Neuroengineering BV,Belgium
CHU Brugmann,Belgium
Stad Mechelen,Belgium
National Institute of Culture and History (NICH),Belize
Ya’axché Conservation Trust (YCT),Belize
University of Abomey-Calavi (UAC),Benin
Africa Rice Center (AfricaRice),Benin
Laboratoire de Référence des Mycobactéries (LRM),Benin
Benin Ministry of Higher Education and Scientific Research (MESRS),Benin
Foundation for Scientific Research (FORS),Benin
Higher University of San Andrés (UMSA),Bolivia
Museo Nacional de Historia Natural (MNHN),Bolivia
Gabriel René Moreno Autonomous University (UAGRM),Bolivia
Bolivian Catholic University (UCB),Bolivia
National Museum of Archaeology,Bolivia
University of San Simón (UMSS),Bolivia
"Universidad Autónoma del Beni ""José Ballivián"" (UABJB)",Bolivia
University of Sarajevo,Bosnia and Herzegovina
Academy of Sciences and Arts of Bosnia and Herzegovina (ANUBiH),Bosnia and Herzegovina
University Clinical Center Sarajevo (UKCS),Bosnia and Herzegovina
University of Botswana (UB),Botswana
Botswana Ministry of Health,Botswana
Botswana International University of Science and Technology (BIUST),Botswana
Parliament of Botswana,Botswana
Diagnofirm Medical Laboratories,Botswana
Botswana Institute of Technology Research and Innovation (BITRI),Botswana
Botswana-Baylor Children’s Clinical Centre of Excellence (COE),Botswana
Botho University,Botswana
University of São Paulo (USP),Brazil
State University of Campinas (UNICAMP),Brazil
"Brazil Ministry of Science, Technology, Innovation and Communication (MCTIC)",Brazil
Federal University of Minas Gerais (UFMG),Brazil
Federal University of Rio de Janeiro (UFRJ),Brazil
Federal University of ABC (UFABC),Brazil
São Paulo State University (UNESP),Brazil
Federal University of Paraíba (UFPB),Brazil
Federal University of Rio Grande do Norte (UFRN),Brazil
Federal University of Santa Catarina (UFSC),Brazil
Federal University of Pernambuco (UFPE),Brazil
Federal University of São Carlos (UFSCar),Brazil
Federal University of Rio Grande do Sul (UFRGS),Brazil
Federal University of Paraná (UFPR),Brazil
Rio de Janeiro State University (UERJ),Brazil
Federal University of Espírito Santo (UFES),Brazil
Fluminense Federal University (UFF),Brazil
Oswaldo Cruz Foundation (FIOCRUZ),Brazil
Federal University of Ceará (UFC),Brazil
Federal University of Viçosa (UFV),Brazil
University of Brasília (UnB),Brazil
Federal University of Bahia (UFBA),Brazil
Federal University of Pelotas (UFPel),Brazil
Federal University of Goiás (UFG),Brazil
Federal University of Pará (UFPA),Brazil
Federal University of Itajubá (UNIFEI),Brazil
Federal University of São Paulo (UNIFESP),Brazil
Federal University of Maranhão (UFMA),Brazil
Federal University of Campina Grande (UFCG),Brazil
Federal Rural University of Pernambuco (UFRPE),Brazil
National Institute for Amazonian Research (INPA),Brazil
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil
Mackenzie Presbyterian University (UPM),Brazil
Federal Rural University of Rio de Janeiro (UFRRJ),Brazil
State University of Londrina (UEL),Brazil
Instituto Butantan,Brazil
Federal University of Juiz de Fora (UFJF),Brazil
Federal University of Alagoas (UFAL),Brazil
Federal University of Uberlândia (UFU),Brazil
Federal University of Santa Maria (UFSM),Brazil
São Paulo Research Foundation (FAPESP),Brazil
Federal University of Latin American Integration (UNILA),Brazil
University of Vale do Rio dos Sinos (Unisinos),Brazil
Universidade do Estado do Rio Grande do Norte (UERN),Brazil
Federal University of Ouro Preto (UFOP),Brazil
Federal Center for Technological Education of Minas Gerais (CEFET-MG),Brazil
Brazil Ministry of Health,Brazil
Federal University of Mato Grosso (UFMT),Brazil
University of Paraíba Valley (UNIVAP),Brazil
Fundação Getulio Vargas (FGV),Brazil
Federal University of the State of Rio de Janeiro (UNIRIO),Brazil
Federal University of Mato Grosso do Sul (UFMS),Brazil
Petróleo Brasileiro S.A. (Petrobras),Brazil
Federal University of Amazonas (UFAM),Brazil
Federal University of Piauí (UFPI),Brazil
Universidade Federal de Alfenas,Brazil
Universidade Federal do Cariri (UFCA),Brazil
Federal University of Sergipe (UFS),Brazil
Federal University of São João del-Rei (UFSJ),Brazil
State University of Maringá (UEM),Brazil
Brazil Ministry of Education (MEC),Brazil
