Institution_fullName,Institution_withOut_abb,Institution_Abbreviation,country
Agency of Preventive Medicine,Agency of Preventive Medicine,AMP,France
Albany Molecular Research Inc.,Albany Molecular Research Inc.,AMRI,United States of America (USA)
Amrita Vishwa Vidyapeetham (Amrita University),Amrita Vishwa Vidyapeetham (Amrita University),Amrita University,India
Amsterdam Institute for Advanced Metropolitan Solutions (AMS Institute),Amsterdam Institute for Advanced Metropolitan Solutions (AMS Institute),AMS Institute,Netherlands
Arba Minch University,Arba Minch University,AMU,Ethiopia
Aix-Marseille University,Aix-Marseille University,AMU,France
Aligarh Muslim University,Aligarh Muslim University,AMU,India
Ateneo de Manila University,Ateneo de Manila University,AMU,Philippines
Adam Mickiewicz University in Poznań,Adam Mickiewicz University in Poznań,AMU,Poland
National Water Agency,National Water Agency,ANA,Brazil
Azerbaijan National Academy of Sciences,Azerbaijan National Academy of Sciences,ANAS,Azerbaijan
Agencia Nacional de Hidrocarburos,Agencia Nacional de Hidrocarburos,ANH,Mexico
Chilean National Agency for Research and Development,Chilean National Agency for Research and Development,ANID,Chile
Argonne National Laboratory,Argonne National Laboratory,ANL,United States of America (USA)
National Administration of Laboratories and Health Institutes,National Administration of Laboratories and Health Institutes,ANLIS,Argentina
Aggtelek National Park Directorate,Aggtelek National Park Directorate,ANPI,Hungary
Agence Nationale des Parcs Nationaux,Agence Nationale des Parcs Nationaux,ANPN,Gabon
"French Agency for Food, Environmental and Occupational Health & Safety","French Agency for Food, Environmental and Occupational Health & Safety",Anses,France
Australian Nuclear Science and Technology Organisation,Australian Nuclear Science and Technology Organisation,ANSTO,Australia
Australian National University,Australian National University,ANU,Australia
Academy of Sciences and Arts of Bosnia and Herzegovina,Academy of Sciences and Arts of Bosnia and Herzegovina,ANUBiH,Bosnia and Herzegovina
Astronomical Observatory of Belgrade,Astronomical Observatory of Belgrade,AOB,Serbia
Azienda Ospedaliera Specialistica dei Colli (AORN Ospedali dei Colli),Azienda Ospedaliera Specialistica dei Colli (AORN Ospedali dei Colli),AORN Ospedali dei Colli,Italy
Academy of Romanian Scientists,Academy of Romanian Scientists,AOSR,Romania
Assistance Publique-Hôpitaux de Paris (AP-HP),Assistance Publique-Hôpitaux de Paris (AP-HP),AP-HP,France
Arthritis and Pain Associates of PG County,Arthritis and Pain Associates of PG County,APAPGC,United States of America (USA)
APEC Climate Center,APEC Climate Center,APCC,South Korea
Austrian Power Grid,Austrian Power Grid,APG,Austria
Animal and Plant Health Agency,Animal and Plant Health Agency,APHA,United Kingdom (UK)
African Population and Health Research Center,African Population and Health Research Center,APHRC,Kenya
African Plant Nutrition Institute,African Plant Nutrition Institute,APNI,Morocco
Environmental Protection Agency,Environmental Protection Agency,APPA,Argentina
Associazione Paleontologica Paleoartistica Italiana,Associazione Paleontologica Paleoartistica Italiana,APPI,Italy
Asia Pacific Resources International Ltd,Asia Pacific Resources International Ltd,APRIL,Indonesia
Maria Grzegorzewska University,Maria Grzegorzewska University,APS,Poland
American Physical Society,American Physical Society,APS,United States of America (USA)
Austin Peay State University,Austin Peay State University,APSU,United States of America (USA)
São Paulo’s Agency for Agribusiness Technology,São Paulo’s Agency for Agribusiness Technology,APTA,Brazil
Alaska Pacific University,Alaska Pacific University,APU,United States of America (USA)
Alpine Quantum Technologies GmbH,Alpine Quantum Technologies GmbH,AQT,Austria
Autoridad Regional Ambiental Loreto (ARA L.),Autoridad Regional Ambiental Loreto (ARA L.),ARA L.,Peru
Oceanographic Observatory in Banyuls-sur-Mer (Arago Laboratory),Oceanographic Observatory in Banyuls-sur-Mer (Arago Laboratory),Arago Laboratory,France
Arnot Research and Consulting Inc.,Arnot Research and Consulting Inc.,ARC,Canada
Agricultural Research Center,Agricultural Research Center,ARC,Egypt
Agricultural Research Council,Agricultural Research Council,ARC,South Africa
Animal Resources Center,Animal Resources Center,ARC,United States of America (USA)
"Agricultural Research, Education and Extension Organization","Agricultural Research, Education and Extension Organization",AREEO,Iran
Abbotsford Regional Hospital and Cancer Centre,Abbotsford Regional Hospital and Cancer Centre,ARHCC,Canada
"Aerodyne Research, Inc.","Aerodyne Research, Inc.",ARI,United States of America (USA)
Amethyst Research Inc.,Amethyst Research Inc.,ARI,United States of America (USA)
Akita Research Institute for Food and Brewing,Akita Research Institute for Food and Brewing,ARIF,Japan
The University of Arizona,The University of Arizona,Arizona,United States of America (USA)
Pusat Penelitian Arkeologi Nasional,Pusat Penelitian Arkeologi Nasional,ARKENAS,Indonesia
Accelerator for Research in Radiochemistry and Oncology at Nantes Atlantic,Accelerator for Research in Radiochemistry and Oncology at Nantes Atlantic,ARRONAX,France
Regulatory Agency for Water Supply and Sewage Services of the State of Minas Gerais,Regulatory Agency for Water Supply and Sewage Services of the State of Minas Gerais,ARSAE,Brazil
Ardahan University,Ardahan University,ARÜ,Turkey
Aligning Science Across Parkinson's,Aligning Science Across Parkinson's,ASAP,United States of America (USA)
Aquaculture Stewardship Council,Aquaculture Stewardship Council,ASC,Netherlands
"Association de Soutien aux Centres de Recherches, d’Enseignements et de Soins","Association de Soutien aux Centres de Recherches, d’Enseignements et de Soins",ASCRES,Switzerland
American Society for Engineering Education,American Society for Engineering Education,ASEE,United States of America (USA)
Azienda Sanitaria di Firenze,Azienda Sanitaria di Firenze,ASF,Italy
Italian Space Agency,Italian Space Agency,ASI,Italy
Azienda Sanitaria Locale (ASL Foggia),Azienda Sanitaria Locale (ASL Foggia),ASL Foggia,Italy
Azienda Sanitaria Locale di Collegno e Pinerolo (ASL TO3),Azienda Sanitaria Locale di Collegno e Pinerolo (ASL TO3),ASL TO3,Italy
"Azienda Sanitaria Locale TO4 di Ciriè, Chivasso e Ivrea (ASL TO4)","Azienda Sanitaria Locale TO4 di Ciriè, Chivasso e Ivrea (ASL TO4)",ASL TO4,Italy
Academy of Sciences of Moldova,Academy of Sciences of Moldova,ASM,Moldova
Azienda Sanitaria Provinciale di Ragusa (ASP Ragusa),Azienda Sanitaria Provinciale di Ragusa (ASP Ragusa),ASP Ragusa,Italy
Public Health Agency of Catalonia,Public Health Agency of Catalonia,ASPCAT,Spain
Academy of Scientific Research and Technology,Academy of Scientific Research and Technology,ASRT,Egypt
Astronomical Society of Southern Africa,Astronomical Society of Southern Africa,ASSA,South Africa
Azienda Socio Sanitaria Territoriale (ASST) degli Spedali Civili di Brescia,Azienda Socio Sanitaria Territoriale (ASST) degli Spedali Civili di Brescia,ASST,Italy
Azienda Socio-Sanitaria Territoriale (ASST) della Valle Olona,Azienda Socio-Sanitaria Territoriale (ASST) della Valle Olona,ASST,Italy
Azienda Socio Sanitaria Territoriale Papa Giovanni XXIII (ASST-PG23),Azienda Socio Sanitaria Territoriale Papa Giovanni XXIII (ASST-PG23),ASST-PG23,Italy
"Atmospheric and Space Technology Research Associates (ASTRA), LLC","Atmospheric and Space Technology Research Associates (ASTRA), LLC",ASTRA,United States of America (USA)
Anhui Science and Technology University,Anhui Science and Technology University,ASTU,China
Astrakhan State Technical University,Astrakhan State Technical University,ASTU,Russia
Altai State University,Altai State University,ASU,Russia
Adyghe State University,Adyghe State University,ASU,Russia
Arizona State University,Arizona State University,ASU,United States of America (USA)
Yunnan Animal Science and Veterinary Institute,Yunnan Animal Science and Veterinary Institute,ASVI,China
American Type Culture Collection,American Type Culture Collection,ATCC,United States of America (USA)
Amboseli Trust for Elephants,Amboseli Trust for Elephants,ATE,Kenya
"Athena Research and Innovation Center in Information, Communication and Knowledge Technologies (Athena RIC)","Athena Research and Innovation Center in Information, Communication and Knowledge Technologies (Athena RIC)",Athena RIC,Greece
The Alan Turing Institute Almere,The Alan Turing Institute Almere,ATIA,Netherlands
Advanced Telecommunications Research Institute International,Advanced Telecommunications Research Institute International,ATR,Japan
Ashoka Trust for Research in Ecology and the Environment,Ashoka Trust for Research in Ecology and the Environment,ATREE,India
Aarhus University,Aarhus University,AU,Denmark
Ahmedabad University,Ahmedabad University,AU,India
Anna University,Anna University,AU,India
Ariel University,Ariel University,AU,Israel
Australian Urology Associates (AUA Urology),Australian Urology Associates,AUA Urology,Australia
Amsterdam University of Applied Sciences,Amsterdam University of Applied Sciences,AUAS,Netherlands
American University of Beirut,American University of Beirut,AUB,Lebanon
American University in Cairo,American University in Cairo,AUC,Egypt
Athens University of Economics and Business,Athens University of Economics and Business,AUEB,Greece
Agricultural University of Iceland,Agricultural University of Iceland,AUI,Iceland
"Associated Universities (AUI), Inc.","Associated Universities (AUI), Inc.",AUI,United States of America (USA)
American University of the Middle East,American University of the Middle East,AUM,Kuwait
Auburn University at Montgomery,Auburn University at Montgomery,AUM,United States of America (USA)
Antioch University Midwest,Antioch University Midwest,AUM,United States of America (USA)
Abadan University of Medical Sciences,Abadan University of Medical Sciences,AUMS,Iran
Assam University,Assam University,AUS,India
American University of Sharjah,American University of Sharjah,AUS,United Arab Emirates
Azienda Unità Sanitaria Locale della Bologna (AUSL Bologna),Azienda Unità Sanitaria Locale della Bologna (AUSL Bologna),AUSL Bologna,Italy
Anhui University of Science and Technology,Anhui University of Science and Technology,AUST,China
Abbottabad University of Science and Technology,Abbottabad University of Science and Technology,AUST,Pakistan
Vaxxas,Vaxxas,Australia,Australia
VASP Software (Austria),VASP Software (Austria),Austria,Austria
Alpine Quantum Technologies (Austria),Alpine Quantum Technologies (Austria),Austria,Austria
Amirkabir University of Technology,Amirkabir University of Technology,AUT,Iran
Auckland University of Technology,Auckland University of Technology,AUT,New Zealand
Aristotle University of Thessaloniki,Aristotle University of Thessaloniki,AUTH,Greece
Cooperative Research Centre for Living with Autism (Autism CRC),Cooperative Research Centre for Living with Autism,Autism CRC,Australia
Anhui Polytechnic University,Anhui Polytechnic University,AUTS,China
Aviation Industry Corporation of China,Aviation Industry Corporation of China,AVIC,China
"Department of Agriculture, Water and the Environment","Department of Agriculture, Water and the Environment",AWE,Australia
African Wildlife Foundation,African Wildlife Foundation,AWF,Central African Republic
University of Physical Education in Krakow,University of Physical Education in Krakow,AWF,Poland
"Abdul Wali Khan University, Mardan","Abdul Wali Khan University, Mardan",AWKUM,Pakistan
Avon and Wiltshire Mental Health Partnership NHS Trust,Avon and Wiltshire Mental Health Partnership NHS Trust,AWP,United Kingdom (UK)
British Astronomical Association,British Astronomical Association,BAA,United Kingdom (UK)
"Bureau voor Bouwhistorie, Archeologie, Architectuur en Cultuurhistorie B.V.","Bureau voor Bouwhistorie, Archeologie, Architectuur en Cultuurhistorie B.V.",BAAC,Netherlands
Beijing Academy of Agriculture and Forestry Sciences,Beijing Academy of Agriculture and Forestry Sciences,BAAFS,China
Beijing Academy of Artificial Intelligence,Beijing Academy of Artificial Intelligence,BAAI,China
"Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr","Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr",BAAINBw,Germany
Beijing Aerospace Flight Control Center,Beijing Aerospace Flight Control Center,BACC,China
Bay Area Environmental Research Institute,Bay Area Environmental Research Institute,BAERI,United States of America (USA)
Bahia School of Medicine and Public Health,Bahia School of Medicine and Public Health,BAHIANA,Brazil
Baker Heart and Diabetes Institute (Baker IDI),Baker Heart and Diabetes Institute,Baker IDI,Australia
Federal Institute for Materials Research and Testing,Federal Institute for Materials Research and Testing,BAM,Germany
"Indian Institute of Technology (Banaras Hindu University), Varanasi (IIT BHU)","Indian Institute of Technology (Banaras Hindu University), Varanasi (IIT BHU)",Banaras Hindu University,India
Barcelona Graduate School of Economics (Barcelona GSE),Barcelona Graduate School of Economics (Barcelona GSE),Barcelona GSE,Spain
Biomedical Research and Training Institute,Biomedical Research and Training Institute,BARTI,Zimbabwe
Bulgarian Academy of Sciences,Bulgarian Academy of Sciences,BAS,Bulgaria
NERC British Antarctic Survey,NERC British Antarctic Survey,BAS,United Kingdom (UK)
Bashkir State University,Bashkir State University,BashSU,Russia
Bahamas Advanced Study Institute and Conferences,Bahamas Advanced Study Institute and Conferences,BASIC,Bahamas
Bauchi State University,Bauchi State University,BASUG,Nigeria
Bangladesh Agricultural University,Bangladesh Agricultural University,BAU,Bangladesh
Al-Balqa' Applied University,Al-Balqa' Applied University,BAU,Jordan
Bahcesehir University,Bahcesehir University,BAU,Turkey
Balıkesir University,Balıkesir University,BAUN,Turkey
Babasaheb Bhimrao Ambedkar University,Babasaheb Bhimrao Ambedkar University,BBAU,India
British Biocell International (BBI Solutions),British Biocell International (BBI Solutions),BBI Solutions,United Kingdom (UK)
"Birkbeck, University of London","Birkbeck, University of London",BBK,United Kingdom (UK)
German Biobank Node (bbmri.de),German Biobank Node (bbmri.de),bbmri.de,Germany
Burapha University,Burapha University,BBU,Thailand
Boston College,Boston College,BC,United States of America (USA)
"Brown and Caldwell, Inc.","Brown and Caldwell, Inc.",BC,United States of America (USA)
Basque Center for Applied Mathematics,Basque Center for Applied Mathematics,BCAM,Spain
"Basque Center on Cognition, Brain and Language","Basque Center on Cognition, Brain and Language",BCBL,Spain
British Columbia Excellence for Women's Health,British Columbia Excellence for Women's Health,BCCEWH,Canada
Bernstein Network Computational Neuroscience,Bernstein Network Computational Neuroscience,BCCN,Germany
British Columbia Centre on Substance Use,British Columbia Centre on Substance Use,BCCU,Canada
Budongo Conservation Field Station,Budongo Conservation Field Station,BCFS,Uganda
Boston Consulting Group,Boston Consulting Group,BCG,United States of America (USA)
British Columbia Geological Survey,British Columbia Geological Survey,BCGS,Canada
British Columbia Institute of Technology,British Columbia Institute of Technology,BCIT,Canada
Baylor College of Medicine,Baylor College of Medicine,BCM,United States of America (USA)
"Basque Center for Materials, Applications and Nanostructures","Basque Center for Materials, Applications and Nanostructures",BCMaterials,Spain
"Biological Consulting Services of North Florida, Inc. (BCS Laboratories)","Biological Consulting Services of North Florida, Inc. (BCS Laboratories)",BCS Laboratories,United States of America (USA)
Birmingham City University,Birmingham City University,BCU,United Kingdom (UK)
Blood Center of Wisconsin,Blood Center of Wisconsin,BCW,United States of America (USA)
"Becton, Dickinson and Company","Becton, Dickinson and Company",BD,United States of America (USA)
"Big Data to Knowledge, Library of Integrated Network-based Cellular Signatures, Data Coordination and Integration Center (BD2K-LINCS DCIC)","Big Data to Knowledge, Library of Integrated Network-based Cellular Signatures, Data Coordination and Integration Center (BD2K-LINCS DCIC)",BD2K-LINCS DCIC,United States of America (USA)
"Beijing Drainage Group Co., Ltd.","Beijing Drainage Group Co., Ltd.",BDG,China
BioDetection Systems B.V.,BioDetection Systems B.V.,BDS,Netherlands
Bharathidasan University,Bharathidasan University,BDU,India
"Precision Scientific (Beijing) Co., Ltd.","Precision Scientific (Beijing) Co., Ltd.",Beijing,China
"Alpha X (Beijing) Biotech Co., Ltd.","Alpha X (Beijing) Biotech Co., Ltd.",Beijing,China
"Focus e-Beam Technology (Beijing) Co., Ltd.","Focus e-Beam Technology (Beijing) Co., Ltd.",Beijing,China
"Cipher Gene (Beijing) Co., Ltd.","Cipher Gene (Beijing) Co., Ltd.",Beijing,China
"BioMap (Beijing) Intelligent Technology Co., Ltd.","BioMap (Beijing) Intelligent Technology Co., Ltd.",Beijing,China
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",BEIS,United Kingdom (UK)
"Republican Center for Hydrometeorology, Control of Radioactive Contamination and Environmental Monitoring","Republican Center for Hydrometeorology, Control of Radioactive Contamination and Environmental Monitoring",Belhydromet,Belarus
Belgian Federal Science Policy Office,Belgian Federal Science Policy Office,BELSPO,Belgium
Belgorod State National Research University,Belgorod State National Research University,BelSU,Russia
Biodiversity Foundation for Africa,Biodiversity Foundation for Africa,BFA,Zimbabwe
Federal Institute for Drugs and Medical Devices,Federal Institute for Drugs and Medical Devices,BfArM,Germany
German Federal Institute of Hydrology,German Federal Institute of Hydrology,BfG,Germany
Beijing Forestry University,Beijing Forestry University,BFU,China
Biogemma,Biogemma,BGA,France
"Berlin Society of Anthropology, Ethnology and Prehistory","Berlin Society of Anthropology, Ethnology and Prehistory",BGAEU,Germany
Berkeley Geochronology Center,Berkeley Geochronology Center,BGC,United States of America (USA)
Beijing Graphene Institute,Beijing Graphene Institute,BGI,China
Federal Institute for Geosciences and Natural Resources,Federal Institute for Geosciences and Natural Resources,BGR,Germany
British Geological Survey,British Geological Survey,BGS,United Kingdom (UK)
Bowling Green State University,Bowling Green State University,BGSU,United States of America (USA)
Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,BGU,Israel
Beatrice Hunter Cancer Research Institute,Beatrice Hunter Cancer Research Institute,BHCRI,Canada
British Heart Foundation,British Heart Foundation,BHF,United Kingdom (UK)
"Barking, Havering and Redbridge University Hospitals NHS Trust","Barking, Havering and Redbridge University Hospitals NHS Trust",BHRUT,United Kingdom (UK)
Basque Health System,Basque Health System,BHS,Spain
Buffalo Hearing & Speech Center,Buffalo Hearing & Speech Center,BHSC,United States of America (USA)
Belfast Health and Social Care Trust,Belfast Health and Social Care Trust,BHSCT,United Kingdom (UK)
Black Hills State University,Black Hills State University,BHSU,United States of America (USA)
Banaras Hindu University,Banaras Hindu University,BHU,India
"Business Integra, Inc.","Business Integra, Inc.",BI,United States of America (USA)
BIOND Solutions BV (Bi/ond),BIOND Solutions BV,Bi/ond,Netherlands
Bonn International Center for Conversion,Bonn International Center for Conversion,BICC,Germany
Beijing Institute of Collaborative Innovation,Beijing Institute of Collaborative Innovation,BICI,China
Bamrasnaradura Infectious Diseases Institute,Bamrasnaradura Infectious Diseases Institute,BIDI,Thailand
Berlin Institute for the Foundations of Learning and Data,Berlin Institute for the Foundations of Learning and Data,BIFOLD,Germany
Beijing Institute of Fashion Technology,Beijing Institute of Fashion Technology,BIFT,China
Geospatial Information Agency,Geospatial Information Agency,BIG,Indonesia
BioInnovation Institute,BioInnovation Institute,BII,Denmark
Yanqi Lake Beijing Institute of Mathematical Sciences and Applications,Yanqi Lake Beijing Institute of Mathematical Sciences and Applications,BIMSA,China
BIOelectronics and Advanced Genomic Engineering srl,BIOelectronics and Advanced Genomic Engineering srl,BIOAGE,Italy
Norwegian Institute for Agricultural and Environmental Research,Norwegian Institute for Agricultural and Environmental Research,Bioforsk,Norway
Andalusian Centre for Nanomedicine and Biotechnology,Andalusian Centre for Nanomedicine and Biotechnology,BIONAND,Spain
Bioresource Processing Institute of Australia,Bioresource Processing Institute of Australia,BioPRIA,Australia
Bermuda Institute of Ocean Sciences,Bermuda Institute of Ocean Sciences,BIOS,United Kingdom (UK)
Biomathematics and Statistics Scotland,Biomathematics and Statistics Scotland,BioSS,United Kingdom (UK)
"Biostatech Advice, Training and Innovation in Biostatistics, S.L.","Biostatech Advice, Training and Innovation in Biostatistics, S.L.",Biostatech,Spain
Biliran Province State University,Biliran Province State University,BiPSU,Philippines
